"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000Blg0AAC","0058c00000BxeO9AAJ","false","O-001268","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz9AAC","a2z4x0000001Vu4AAE","","false"
"a2z8c000000Blg1AAC","0058c00000BxeO9AAJ","false","O-001269","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgzBAAS","a2z4x0000001Vu5AAE","","false"
"a2z8c000000Blg2AAC","0058c00000BxeO9AAJ","false","O-001270","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgzCAAS","a2z4x0000001Vu6AAE","","false"
"a2z8c000000Blg3AAC","0058c00000BxeO9AAJ","false","O-001271","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgzDAAS","a2z4x0000001Vu7AAE","","false"
"a2z8c000000Blg4AAC","0058c00000BxeO9AAJ","false","O-001272","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgzEAAS","a2z4x0000001Vu8AAE","","false"
"a2z8c000000Blg5AAC","0058c00000BxeO9AAJ","false","O-001273","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgzFAAS","a2z4x0000001Vu9AAE","","false"
"a2z8c000000Blg6AAC","0058c00000BxeO9AAJ","false","O-001274","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgzGAAS","a2z4x0000001VuAAAU","","false"
"a2z8c000000Blg7AAC","0058c00000BxeO9AAJ","false","O-001275","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgzHAAS","a2z4x0000001VuBAAU","","false"
"a2z8c000000Blg8AAC","0058c00000BxeO9AAJ","false","O-001276","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgzHAAS","a2z4x0000001VuCAAU","","false"
"a2z8c000000Blg9AAC","0058c00000BxeO9AAJ","false","O-001277","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgzFAAS","a2z4x0000001VuDAAU","","false"
